Provider,PotentialFraud
PRV52925,NO
PRV52926,NO
PRV52928,NO
PRV52929,NO
PRV52930,NO
PRV52931,NO
PRV52932,NO
PRV52933,YES
PRV52934,NO
PRV52935,NO
PRV52936,NO
PRV52937,NO
PRV52938,NO
PRV52940,NO
PRV52941,NO
PRV52942,NO
PRV52943,NO
PRV52944,NO
PRV52945,NO
PRV52948,NO
PRV52949,NO
PRV52950,NO
PRV52951,NO
PRV52952,NO
PRV52953,NO
PRV52954,NO
PRV52955,NO
PRV52956,NO
PRV52957,NO
PRV52958,NO
PRV52961,NO
PRV52962,NO
PRV52963,NO
PRV52964,NO
PRV52966,NO
PRV52970,NO
PRV52971,NO
PRV52972,NO
PRV52976,NO
PRV52978,NO
PRV52979,NO
PRV52980,NO
PRV52981,NO
PRV52982,YES
PRV52985,YES
PRV52986,NO
PRV52988,NO
PRV52989,YES
PRV52990,YES
PRV52991,NO
PRV52993,NO
PRV52996,NO
PRV52998,NO
PRV52999,NO
PRV53000,NO
PRV53001,NO
PRV53002,NO
PRV53004,NO
PRV53005,YES
PRV53007,YES
PRV53008,YES
PRV53009,NO
PRV53013,NO
PRV53014,NO
PRV53015,NO
PRV53016,NO
PRV53017,NO
PRV53018,NO
PRV53019,NO
PRV53020,NO
PRV53021,YES
PRV53024,NO
PRV53025,NO
PRV53026,NO
PRV53027,NO
PRV53028,NO
PRV53029,NO
PRV53031,NO
PRV53032,NO
PRV53033,NO
PRV53034,NO
PRV53035,NO
PRV53036,NO
PRV53037,NO
PRV53038,NO
PRV53040,NO
PRV53042,NO
PRV53043,NO
PRV53044,NO
PRV53045,NO
PRV53047,NO
PRV53048,NO
PRV53049,NO
PRV53050,NO
PRV53052,NO
PRV53054,NO
PRV53055,NO
PRV53056,NO
PRV53057,NO
PRV53059,NO
PRV53061,NO
PRV53062,NO
PRV53063,NO
PRV53064,NO
PRV53065,NO
PRV53066,NO
PRV53067,NO
PRV53069,NO
PRV53070,NO
PRV53071,NO
PRV53072,NO
PRV53073,NO
PRV53074,NO
PRV53075,NO
PRV53076,NO
PRV53077,NO
PRV53078,NO
PRV53079,NO
PRV53081,NO
PRV53083,NO
PRV53084,NO
PRV53085,NO
PRV53086,NO
PRV53087,NO
PRV53090,NO
PRV53091,NO
PRV53095,NO
PRV53096,NO
PRV53099,NO
PRV53100,NO
PRV53101,NO
PRV53102,NO
PRV53103,NO
PRV53104,NO
PRV53106,YES
PRV53107,NO
PRV53108,NO
PRV53109,NO
PRV53110,NO
PRV53111,NO
PRV53113,NO
PRV53114,YES
PRV53116,NO
PRV53117,NO
PRV53119,YES
PRV53120,NO
PRV53121,YES
PRV53122,NO
PRV53123,NO
PRV53124,NO
PRV53125,NO
PRV53126,NO
PRV53127,NO
PRV53128,NO
PRV53129,NO
PRV53131,NO
PRV53133,NO
PRV53134,NO
PRV53135,NO
PRV53136,YES
PRV53137,NO
PRV53138,NO
PRV53139,NO
PRV53140,NO
PRV53141,NO
PRV53142,YES
PRV53143,NO
PRV53144,NO
PRV53145,NO
PRV53147,NO
PRV53148,NO
PRV53149,NO
PRV53150,NO
PRV53151,NO
PRV53153,NO
PRV53154,NO
PRV53156,NO
PRV53157,NO
PRV53158,NO
PRV53159,NO
PRV53161,NO
PRV53162,NO
PRV53163,NO
PRV53164,NO
PRV53166,NO
PRV53167,NO
PRV53168,NO
PRV53169,NO
PRV53171,NO
PRV53172,NO
PRV53173,NO
PRV53174,NO
PRV53175,NO
PRV53176,NO
PRV53177,NO
PRV53178,NO
PRV53179,NO
PRV53180,NO
PRV53182,NO
PRV53183,NO
PRV53186,NO
PRV53187,NO
PRV53188,NO
PRV53189,NO
PRV53191,NO
PRV53192,NO
PRV53194,NO
PRV53196,NO
PRV53197,NO
PRV53198,NO
PRV53201,NO
PRV53202,NO
PRV53203,NO
PRV53204,NO
PRV53205,NO
PRV53206,NO
PRV53207,NO
PRV53208,YES
PRV53210,NO
PRV53211,NO
PRV53212,NO
PRV53213,NO
PRV53214,NO
PRV53215,NO
PRV53216,NO
PRV53217,NO
PRV53218,NO
PRV53220,NO
PRV53221,NO
PRV53222,NO
PRV53223,NO
PRV53224,NO
PRV53225,NO
PRV53226,NO
PRV53227,NO
PRV53228,NO
PRV53229,NO
PRV53230,NO
PRV53232,NO
PRV53233,NO
PRV53235,NO
PRV53236,NO
PRV53237,NO
PRV53238,NO
PRV53239,NO
PRV53240,NO
PRV53242,YES
PRV53243,NO
PRV53244,NO
PRV53245,YES
PRV53246,NO
PRV53247,NO
PRV53248,NO
PRV53249,NO
PRV53251,NO
PRV53252,NO
PRV53253,NO
PRV53254,NO
PRV53255,NO
PRV53256,NO
PRV53257,NO
PRV53258,NO
PRV53259,NO
PRV53260,NO
PRV53261,NO
PRV53262,NO
PRV53265,YES
PRV53266,YES
PRV53268,NO
PRV53269,YES
PRV53272,NO
PRV53274,NO
PRV53276,NO
PRV53277,YES
PRV53279,NO
PRV53280,NO
PRV53281,NO
PRV53282,NO
PRV53283,NO
PRV53284,NO
PRV53288,NO
PRV53289,NO
PRV53290,NO
PRV53291,NO
PRV53292,NO
PRV53293,NO
PRV53294,NO
PRV53295,YES
PRV53296,NO
PRV53297,YES
PRV53298,NO
PRV53300,NO
PRV53301,NO
PRV53303,NO
PRV53304,NO
PRV53305,NO
PRV53306,NO
PRV53307,NO
PRV53308,NO
PRV53309,NO
PRV53310,NO
PRV53312,NO
PRV53313,NO
PRV53314,NO
PRV53315,NO
PRV53317,NO
PRV53318,NO
PRV53319,NO
PRV53320,NO
PRV53321,NO
PRV53323,NO
PRV53325,NO
PRV53326,NO
PRV53329,NO
PRV53331,NO
PRV53334,NO
PRV53335,NO
PRV53336,NO
PRV53337,NO
PRV53339,NO
PRV53340,NO
PRV53341,NO
PRV53342,NO
PRV53343,NO
PRV53344,NO
PRV53346,NO
PRV53347,NO
PRV53349,NO
PRV53350,NO
PRV53351,NO
PRV53352,NO
PRV53353,NO
PRV53354,NO
PRV53355,NO
PRV53356,NO
PRV53357,NO
PRV53358,NO
PRV53359,NO
PRV53360,NO
PRV53361,NO
PRV53362,NO
PRV53363,NO
PRV53364,NO
PRV53365,NO
PRV53369,NO
PRV53370,NO
PRV53371,NO
PRV53373,NO
PRV53374,NO
PRV53375,NO
PRV53376,NO
PRV53377,NO
PRV53378,NO
PRV53379,YES
PRV53380,NO
PRV53381,NO
PRV53382,NO
PRV53383,NO
PRV53384,YES
PRV53385,YES
PRV53386,NO
PRV53387,NO
PRV53388,NO
PRV53389,NO
PRV53390,NO
PRV53391,NO
PRV53392,NO
PRV53393,NO
PRV53394,NO
PRV53396,NO
PRV53397,YES
PRV53398,NO
PRV53399,YES
PRV53401,YES
PRV53402,NO
PRV53403,NO
PRV53405,NO
PRV53407,NO
PRV53408,NO
PRV53409,NO
PRV53411,NO
PRV53412,NO
PRV53413,NO
PRV53415,NO
PRV53416,NO
PRV53417,YES
PRV53419,NO
PRV53421,YES
PRV53423,NO
PRV53424,NO
PRV53426,NO
PRV53427,NO
PRV53428,NO
PRV53429,NO
PRV53431,NO
PRV53432,NO
PRV53433,NO
PRV53435,NO
PRV53436,NO
PRV53437,NO
PRV53438,NO
PRV53439,NO
PRV53440,NO
PRV53441,NO
PRV53442,NO
PRV53443,NO
PRV53444,NO
PRV53445,NO
PRV53446,NO
PRV53447,NO
PRV53448,NO
PRV53449,NO
PRV53450,NO
PRV53451,NO
PRV53452,NO
PRV53453,NO
PRV53454,NO
PRV53455,NO
PRV53456,NO
PRV53457,NO
PRV53460,NO
PRV53461,YES
PRV53462,NO
PRV53463,NO
PRV53465,NO
PRV53467,NO
PRV53469,NO
PRV53470,NO
PRV53471,NO
PRV53472,NO
PRV53473,NO
PRV53474,NO
PRV53475,NO
PRV53476,NO
PRV53477,NO
PRV53478,NO
PRV53479,NO
PRV53480,NO
PRV53482,NO
PRV53483,NO
PRV53484,NO
PRV53485,NO
PRV53486,NO
PRV53487,NO
PRV53489,NO
PRV53490,NO
PRV53491,NO
PRV53492,NO
PRV53494,NO
PRV53495,NO
PRV53496,NO
PRV53498,NO
PRV53499,NO
PRV53501,NO
PRV53502,NO
PRV53503,NO
PRV53504,NO
PRV53506,NO
PRV53507,NO
PRV53509,NO
PRV53510,NO
PRV53511,NO
PRV53513,NO
PRV53515,NO
PRV53516,NO
PRV53517,NO
PRV53519,NO
PRV53520,NO
PRV53521,NO
PRV53522,NO
PRV53523,NO
PRV53524,NO
PRV53525,NO
PRV53526,NO
PRV53527,NO
PRV53530,NO
PRV53531,NO
PRV53532,NO
PRV53533,NO
PRV53534,NO
PRV53535,NO
PRV53536,NO
PRV53539,NO
PRV53540,NO
PRV53544,NO
PRV53545,NO
PRV53547,NO
PRV53548,NO
PRV53549,NO
PRV53550,NO
PRV53551,NO
PRV53553,NO
PRV53554,NO
PRV53555,NO
PRV53556,NO
PRV53558,NO
PRV53559,NO
PRV53560,NO
PRV53561,NO
PRV53562,NO
PRV53563,NO
PRV53564,NO
PRV53565,NO
PRV53566,NO
PRV53568,NO
PRV53569,NO
PRV53570,NO
PRV53571,NO
PRV53572,NO
PRV53573,NO
PRV53574,NO
PRV53577,NO
PRV53578,NO
PRV53581,NO
PRV53582,NO
PRV53584,NO
PRV53585,NO
PRV53586,NO
PRV53587,NO
PRV53588,NO
PRV53589,NO
PRV53590,NO
PRV53591,NO
PRV53593,NO
PRV53594,NO
PRV53595,NO
PRV53596,NO
PRV53597,NO
PRV53598,NO
PRV53599,NO
PRV53600,NO
PRV53601,NO
PRV53602,NO
PRV53604,NO
PRV53605,NO
PRV53606,NO
PRV53607,NO
PRV53608,NO
PRV53609,NO
PRV53611,NO
PRV53612,NO
PRV53613,NO
PRV53614,NO
PRV53616,NO
PRV53617,NO
PRV53618,NO
PRV53619,NO
PRV53620,NO
PRV53621,NO
PRV53622,NO
PRV53623,YES
PRV53624,NO
PRV53625,NO
PRV53626,NO
PRV53627,NO
PRV53628,NO
PRV53629,NO
PRV53631,NO
PRV53632,NO
PRV53633,NO
PRV53634,NO
PRV53635,NO
PRV53638,NO
PRV53640,NO
PRV53641,NO
PRV53642,NO
PRV53643,NO
PRV53644,NO
PRV53645,NO
PRV53646,NO
PRV53647,NO
PRV53648,NO
PRV53649,NO
PRV53651,NO
PRV53652,NO
PRV53654,NO
PRV53655,NO
PRV53656,NO
PRV53657,NO
PRV53658,NO
PRV53659,NO
PRV53660,NO
PRV53661,NO
PRV53662,NO
PRV53663,NO
PRV53664,NO
PRV53665,NO
PRV53666,NO
PRV53667,NO
PRV53668,YES
PRV53669,NO
PRV53670,YES
PRV53671,YES
PRV53672,NO
PRV53673,NO
PRV53674,NO
PRV53675,NO
PRV53676,NO
PRV53677,YES
PRV53678,NO
PRV53679,NO
PRV53680,NO
PRV53681,NO
PRV53682,NO
PRV53683,NO
PRV53684,NO
PRV53685,NO
PRV53686,NO
PRV53688,NO
PRV53689,NO
PRV53690,NO
PRV53692,YES
PRV53694,NO
PRV53695,NO
PRV53696,NO
PRV53697,NO
PRV53698,NO
PRV53699,NO
PRV53700,NO
PRV53701,NO
PRV53702,NO
PRV53703,NO
PRV53704,NO
PRV53705,NO
PRV53706,YES
PRV53708,NO
PRV53709,NO
PRV53710,NO
PRV53712,YES
PRV53713,NO
PRV53714,NO
PRV53715,NO
PRV53716,NO
PRV53717,NO
PRV53718,NO
PRV53719,NO
PRV53720,NO
PRV53721,NO
PRV53722,NO
PRV53723,NO
PRV53724,NO
PRV53725,NO
PRV53726,NO
PRV53727,NO
PRV53728,NO
PRV53729,NO
PRV53730,NO
PRV53731,NO
PRV53732,NO
PRV53733,NO
PRV53734,NO
PRV53735,NO
PRV53740,NO
PRV53741,NO
PRV53743,NO
PRV53745,NO
PRV53746,NO
PRV53749,YES
PRV53750,NO
PRV53751,NO
PRV53752,NO
PRV53754,NO
PRV53755,NO
PRV53756,NO
PRV53757,NO
PRV53759,NO
PRV53761,NO
PRV53762,YES
PRV53763,YES
PRV53764,NO
PRV53765,NO
PRV53766,NO
PRV53767,NO
PRV53768,NO
PRV53769,YES
PRV53770,NO
PRV53771,NO
PRV53772,NO
PRV53773,NO
PRV53774,NO
PRV53775,NO
PRV53776,YES
PRV53779,NO
PRV53780,NO
PRV53781,YES
PRV53782,NO
PRV53783,NO
PRV53784,NO
PRV53785,NO
PRV53786,YES
PRV53787,YES
PRV53788,NO
PRV53790,YES
PRV53791,NO
PRV53792,YES
PRV53793,NO
PRV53794,NO
PRV53796,NO
PRV53797,YES
PRV53798,NO
PRV53799,NO
PRV53801,NO
PRV53802,NO
PRV53805,NO
PRV53806,NO
PRV53807,NO
PRV53808,YES
PRV53812,NO
PRV53814,NO
PRV53815,NO
PRV53816,NO
PRV53817,NO
PRV53818,NO
PRV53819,NO
PRV53820,NO
PRV53821,NO
PRV53824,NO
PRV53827,NO
PRV53828,NO
PRV53829,NO
PRV53831,NO
PRV53832,NO
PRV53835,NO
PRV53836,NO
PRV53837,NO
PRV53838,NO
PRV53839,NO
PRV53840,NO
PRV53841,NO
PRV53842,NO
PRV53843,NO
PRV53844,NO
PRV53845,NO
PRV53846,NO
PRV53848,NO
PRV53849,NO
PRV53850,NO
PRV53851,NO
PRV53855,YES
PRV53857,NO
PRV53859,NO
PRV53860,NO
PRV53861,NO
PRV53862,NO
PRV53864,NO
PRV53865,NO
PRV53867,NO
PRV53868,NO
PRV53871,NO
PRV53872,NO
PRV53873,NO
PRV53874,NO
PRV53875,NO
PRV53876,NO
PRV53877,NO
PRV53878,NO
PRV53879,NO
PRV53880,NO
PRV53884,YES
PRV53885,NO
PRV53887,YES
PRV53888,NO
PRV53889,NO
PRV53891,NO
PRV53892,NO
PRV53894,YES
PRV53895,YES
PRV53896,NO
PRV53899,NO
PRV53900,YES
PRV53901,NO
PRV53905,NO
PRV53906,NO
PRV53907,NO
PRV53908,NO
PRV53909,NO
PRV53910,NO
PRV53911,YES
PRV53912,NO
PRV53913,NO
PRV53915,NO
PRV53916,NO
PRV53917,NO
PRV53918,YES
PRV53919,YES
PRV53920,NO
PRV53921,NO
PRV53922,NO
PRV53923,YES
PRV53924,NO
PRV53925,NO
PRV53926,NO
PRV53927,NO
PRV53928,NO
PRV53931,NO
PRV53932,NO
PRV53933,NO
PRV53934,NO
PRV53935,NO
PRV53937,YES
PRV53938,YES
PRV53939,NO
PRV53940,NO
PRV53941,NO
PRV53942,NO
PRV53943,NO
PRV53944,NO
PRV53945,NO
PRV53946,NO
PRV53947,NO
PRV53949,NO
PRV53950,NO
PRV53951,YES
PRV53952,NO
PRV53956,NO
PRV53957,NO
PRV53958,NO
PRV53959,YES
PRV53960,NO
PRV53961,YES
PRV53963,NO
PRV53964,NO
PRV53965,NO
PRV53966,NO
PRV53967,NO
PRV53968,NO
PRV53969,NO
PRV53970,NO
PRV53971,NO
PRV53972,NO
PRV53973,NO
PRV53974,NO
PRV53975,NO
PRV53977,NO
PRV53978,NO
PRV53979,NO
PRV53980,NO
PRV53981,NO
PRV53982,NO
PRV53983,NO
PRV53985,YES
PRV53986,NO
PRV53988,NO
PRV53989,NO
PRV53990,NO
PRV53991,NO
PRV53992,NO
PRV53993,NO
PRV53994,NO
PRV53995,NO
PRV53996,NO
PRV53997,NO
PRV53999,NO
PRV54000,NO
PRV54001,NO
PRV54002,NO
PRV54004,NO
PRV54005,NO
PRV54006,NO
PRV54007,NO
PRV54008,NO
PRV54009,NO
PRV54011,NO
PRV54012,NO
PRV54013,NO
PRV54014,NO
PRV54016,NO
PRV54017,NO
PRV54019,NO
PRV54020,NO
PRV54021,NO
PRV54023,NO
PRV54024,NO
PRV54025,NO
PRV54026,NO
PRV54027,NO
PRV54028,NO
PRV54029,NO
PRV54030,NO
PRV54031,NO
PRV54033,NO
PRV54034,NO
PRV54036,NO
PRV54037,NO
PRV54038,NO
PRV54039,NO
PRV54040,NO
PRV54041,NO
PRV54043,NO
PRV54044,NO
PRV54045,NO
PRV54046,NO
PRV54048,NO
PRV54049,NO
PRV54050,NO
PRV54051,NO
PRV54052,NO
PRV54053,NO
PRV54054,NO
PRV54055,NO
PRV54056,YES
PRV54057,NO
PRV54058,NO
PRV54059,NO
PRV54060,NO
PRV54061,NO
PRV54062,NO
PRV54063,NO
PRV54064,NO
PRV54065,YES
PRV54066,NO
PRV54068,NO
PRV54070,YES
PRV54071,NO
PRV54072,NO
PRV54073,NO
PRV54074,YES
PRV54075,YES
PRV54076,NO
PRV54077,YES
PRV54078,NO
PRV54080,NO
PRV54081,NO
PRV54082,NO
PRV54083,NO
PRV54084,NO
PRV54085,NO
PRV54086,NO
PRV54089,NO
PRV54090,NO
PRV54091,NO
PRV54092,NO
PRV54093,YES
PRV54096,NO
PRV54098,YES
PRV54099,NO
PRV54101,NO
PRV54102,NO
PRV54103,YES
PRV54106,NO
PRV54107,NO
PRV54109,NO
PRV54110,NO
PRV54111,YES
PRV54112,NO
PRV54113,NO
PRV54114,NO
PRV54115,NO
PRV54116,NO
PRV54117,NO
PRV54118,NO
PRV54119,NO
PRV54120,NO
PRV54121,NO
PRV54122,NO
PRV54123,NO
PRV54124,NO
PRV54125,NO
PRV54127,NO
PRV54128,NO
PRV54129,NO
PRV54130,NO
PRV54131,NO
PRV54132,NO
PRV54133,NO
PRV54134,NO
PRV54135,NO
PRV54136,NO
PRV54139,NO
PRV54140,NO
PRV54141,NO
PRV54142,NO
PRV54144,YES
PRV54145,NO
PRV54146,NO
PRV54148,NO
PRV54149,YES
PRV54150,NO
PRV54153,NO
PRV54154,NO
PRV54155,NO
PRV54156,NO
PRV54157,NO
PRV54158,NO
PRV54159,NO
PRV54160,NO
PRV54162,NO
PRV54163,NO
PRV54164,NO
PRV54166,NO
PRV54167,NO
PRV54168,NO
PRV54171,NO
PRV54172,NO
PRV54173,NO
PRV54175,NO
PRV54176,NO
PRV54177,NO
PRV54178,NO
PRV54179,NO
PRV54180,NO
PRV54181,NO
PRV54182,NO
PRV54183,NO
PRV54184,NO
PRV54185,NO
PRV54186,NO
PRV54187,NO
PRV54188,NO
PRV54191,NO
PRV54192,NO
PRV54193,NO
PRV54194,NO
PRV54196,NO
PRV54197,NO
PRV54198,NO
PRV54199,NO
PRV54200,NO
PRV54201,NO
PRV54202,NO
PRV54203,NO
PRV54204,NO
PRV54205,NO
PRV54206,NO
PRV54207,NO
PRV54208,NO
PRV54209,YES
PRV54210,NO
PRV54212,NO
PRV54213,NO
PRV54215,NO
PRV54216,NO
PRV54217,NO
PRV54219,NO
PRV54220,NO
PRV54222,NO
PRV54223,NO
PRV54224,NO
PRV54225,YES
PRV54226,NO
PRV54227,NO
PRV54228,NO
PRV54230,YES
PRV54231,NO
PRV54232,NO
PRV54233,NO
PRV54235,NO
PRV54237,NO
PRV54238,NO
PRV54239,NO
PRV54240,NO
PRV54242,NO
PRV54244,NO
PRV54245,NO
PRV54246,NO
PRV54247,NO
PRV54250,NO
PRV54251,NO
PRV54252,NO
PRV54253,NO
PRV54254,NO
PRV54255,NO
PRV54256,NO
PRV54257,NO
PRV54258,YES
PRV54259,NO
PRV54261,NO
PRV54262,NO
PRV54263,NO
PRV54265,NO
PRV54266,NO
PRV54267,NO
PRV54269,NO
PRV54270,NO
PRV54271,NO
PRV54273,NO
PRV54274,NO
PRV54275,NO
PRV54276,NO
PRV54278,NO
PRV54280,NO
PRV54282,NO
PRV54283,NO
PRV54284,NO
PRV54285,NO
PRV54287,NO
PRV54288,NO
PRV54289,NO
PRV54290,NO
PRV54291,NO
PRV54293,NO
PRV54294,NO
PRV54295,NO
PRV54296,NO
PRV54297,YES
PRV54298,NO
PRV54299,NO
PRV54300,NO
PRV54301,NO
PRV54302,NO
PRV54303,NO
PRV54304,NO
PRV54305,NO
PRV54306,NO
PRV54307,NO
PRV54308,NO
PRV54309,NO
PRV54310,NO
PRV54311,NO
PRV54312,NO
PRV54313,NO
PRV54315,NO
PRV54316,NO
PRV54317,NO
PRV54319,NO
PRV54320,NO
PRV54323,YES
PRV54324,NO
PRV54325,NO
PRV54326,NO
PRV54327,YES
PRV54328,NO
PRV54330,NO
PRV54332,NO
PRV54333,YES
PRV54334,NO
PRV54335,NO
PRV54336,YES
PRV54337,NO
PRV54339,NO
PRV54340,NO
PRV54341,NO
PRV54342,NO
PRV54343,NO
PRV54344,NO
PRV54345,NO
PRV54347,NO
PRV54348,NO
PRV54349,NO
PRV54350,YES
PRV54352,NO
PRV54353,NO
PRV54354,YES
PRV54355,NO
PRV54356,NO
PRV54357,NO
PRV54358,NO
PRV54359,YES
PRV54360,NO
PRV54361,YES
PRV54362,NO
PRV54363,NO
PRV54365,NO
PRV54367,YES
PRV54368,NO
PRV54370,NO
PRV54371,NO
PRV54372,YES
PRV54373,NO
PRV54374,NO
PRV54375,NO
PRV54377,NO
PRV54378,NO
PRV54379,NO
PRV54380,NO
PRV54381,NO
PRV54382,YES
PRV54383,NO
PRV54384,NO
PRV54387,NO
PRV54388,YES
PRV54389,NO
PRV54390,NO
PRV54391,YES
PRV54392,NO
PRV54393,NO
PRV54396,NO
PRV54399,YES
PRV54400,NO
PRV54401,NO
PRV54402,NO
PRV54403,NO
PRV54404,NO
PRV54407,NO
PRV54408,NO
PRV54409,NO
PRV54410,NO
PRV54411,NO
PRV54412,NO
PRV54413,NO
PRV54414,NO
PRV54415,NO
PRV54416,NO
PRV54419,NO
PRV54420,NO
PRV54421,NO
PRV54422,NO
PRV54423,NO
PRV54424,NO
PRV54425,NO
PRV54426,NO
PRV54427,NO
PRV54429,NO
PRV54430,NO
PRV54431,NO
PRV54432,NO
PRV54433,NO
PRV54434,NO
PRV54435,NO
PRV54436,NO
PRV54437,NO
PRV54438,NO
PRV54439,NO
PRV54441,NO
PRV54442,NO
PRV54443,NO
PRV54444,NO
PRV54448,NO
PRV54449,NO
PRV54450,NO
PRV54451,NO
PRV54452,NO
PRV54454,NO
PRV54455,NO
PRV54456,NO
PRV54457,NO
PRV54459,NO
PRV54460,NO
PRV54461,NO
PRV54462,NO
PRV54463,NO
PRV54465,NO
PRV54466,NO
PRV54467,NO
PRV54468,NO
PRV54469,NO
PRV54471,NO
PRV54472,NO
PRV54473,NO
PRV54475,NO
PRV54477,NO
PRV54478,NO
PRV54479,NO
PRV54480,NO
PRV54481,NO
PRV54482,NO
PRV54483,NO
PRV54486,NO
PRV54489,NO
PRV54490,NO
PRV54491,NO
PRV54496,NO
PRV54497,NO
PRV54498,NO
PRV54499,NO
PRV54500,NO
PRV54501,NO
PRV54502,NO
PRV54503,NO
PRV54504,YES
PRV54505,YES
PRV54506,NO
PRV54507,NO
PRV54508,NO
PRV54509,NO
PRV54510,NO
PRV54511,NO
PRV54514,YES
PRV54515,NO
PRV54517,NO
PRV54519,NO
PRV54520,NO
PRV54521,NO
PRV54522,NO
PRV54523,NO
PRV54524,NO
PRV54526,NO
PRV54528,NO
PRV54529,NO
PRV54530,NO
PRV54531,NO
PRV54535,NO
PRV54536,NO
PRV54537,NO
PRV54538,NO
PRV54539,NO
PRV54540,YES
PRV54541,NO
PRV54542,NO
PRV54543,YES
PRV54544,NO
PRV54545,NO
PRV54546,NO
PRV54547,NO
PRV54548,NO
PRV54549,NO
PRV54550,NO
PRV54551,NO
PRV54552,NO
PRV54553,NO
PRV54554,NO
PRV54555,NO
PRV54557,YES
PRV54558,NO
PRV54559,NO
PRV54560,YES
PRV54561,NO
PRV54562,NO
PRV54563,NO
PRV54564,NO
PRV54565,NO
PRV54566,YES
PRV54567,NO
PRV54568,NO
PRV54569,NO
PRV54571,NO
PRV54572,NO
PRV54573,NO
PRV54574,NO
PRV54575,NO
PRV54576,NO
PRV54577,NO
PRV54578,NO
PRV54579,NO
PRV54580,NO
PRV54581,NO
PRV54582,NO
PRV54585,NO
PRV54587,NO
PRV54588,NO
PRV54589,NO
PRV54590,NO
PRV54591,NO
PRV54593,NO
PRV54595,NO
PRV54596,NO
PRV54597,NO
PRV54598,NO
PRV54599,NO
PRV54601,NO
PRV54602,NO
PRV54603,NO
PRV54604,NO
PRV54606,NO
PRV54608,NO
PRV54609,NO
PRV54610,NO
PRV54611,NO
PRV54612,NO
PRV54614,NO
PRV54615,NO
PRV54616,NO
PRV54618,NO
PRV54619,NO
PRV54620,NO
PRV54621,NO
PRV54622,NO
PRV54623,NO
PRV54624,NO
PRV54625,NO
PRV54627,NO
PRV54628,NO
PRV54629,NO
PRV54630,NO
PRV54633,NO
PRV54634,NO
PRV54635,NO
PRV54636,NO
PRV54637,NO
PRV54638,NO
PRV54639,NO
PRV54640,NO
PRV54642,NO
PRV54643,NO
PRV54644,YES
PRV54645,NO
PRV54646,NO
PRV54649,YES
PRV54651,YES
PRV54652,NO
PRV54653,NO
PRV54656,NO
PRV54657,NO
PRV54658,NO
PRV54660,NO
PRV54661,NO
PRV54662,NO
PRV54664,NO
PRV54666,NO
PRV54667,NO
PRV54668,NO
PRV54670,NO
PRV54671,NO
PRV54672,NO
PRV54673,NO
PRV54674,NO
PRV54675,YES
PRV54676,YES
PRV54677,NO
PRV54678,NO
PRV54679,NO
PRV54680,YES
PRV54681,NO
PRV54682,NO
PRV54683,NO
PRV54684,NO
PRV54685,NO
PRV54686,NO
PRV54687,NO
PRV54688,YES
PRV54689,NO
PRV54690,NO
PRV54691,NO
PRV54692,YES
PRV54693,NO
PRV54694,NO
PRV54695,NO
PRV54696,NO
PRV54697,NO
PRV54699,NO
PRV54701,NO
PRV54703,NO
PRV54704,NO
PRV54705,NO
PRV54707,NO
PRV54708,NO
PRV54710,NO
PRV54711,NO
PRV54712,NO
PRV54713,NO
PRV54714,NO
PRV54715,NO
PRV54716,NO
PRV54717,NO
PRV54718,YES
PRV54720,NO
PRV54723,NO
PRV54724,NO
PRV54725,NO
PRV54726,NO
PRV54727,NO
PRV54728,NO
PRV54730,NO
PRV54734,NO
PRV54735,NO
PRV54737,NO
PRV54739,YES
PRV54741,NO
PRV54742,YES
PRV54743,YES
PRV54745,NO
PRV54747,NO
PRV54748,NO
PRV54753,NO
PRV54756,NO
PRV54757,NO
PRV54758,NO
PRV54759,NO
PRV54760,NO
PRV54761,NO
PRV54763,NO
PRV54764,NO
PRV54765,YES
PRV54767,NO
PRV54768,NO
PRV54771,YES
PRV54772,YES
PRV54773,NO
PRV54774,NO
PRV54776,NO
PRV54778,YES
PRV54779,NO
PRV54780,NO
PRV54781,YES
PRV54783,NO
PRV54784,NO
PRV54785,NO
PRV54786,YES
PRV54787,NO
PRV54789,NO
PRV54790,NO
PRV54792,NO
PRV54793,NO
PRV54794,NO
PRV54795,NO
PRV54796,NO
PRV54798,NO
PRV54799,NO
PRV54800,NO
PRV54802,NO
PRV54803,NO
PRV54805,NO
PRV54806,NO
PRV54808,YES
PRV54809,NO
PRV54810,NO
PRV54812,NO
PRV54813,NO
PRV54814,NO
PRV54817,NO
PRV54818,NO
PRV54819,NO
PRV54820,NO
PRV54821,NO
PRV54822,YES
PRV54824,NO
PRV54827,NO
PRV54828,YES
PRV54829,NO
PRV54830,NO
PRV54831,NO
PRV54832,YES
PRV54833,NO
PRV54834,NO
PRV54836,NO
PRV54837,YES
PRV54838,NO
PRV54840,NO
PRV54841,NO
PRV54842,NO
PRV54845,YES
PRV54846,NO
PRV54847,NO
PRV54848,NO
PRV54849,NO
PRV54852,NO
PRV54854,NO
PRV54855,NO
PRV54856,NO
PRV54859,NO
PRV54860,NO
PRV54861,NO
PRV54862,NO
PRV54863,NO
PRV54864,NO
PRV54865,NO
PRV54866,NO
PRV54867,NO
PRV54868,NO
PRV54869,NO
PRV54870,NO
PRV54871,NO
PRV54873,NO
PRV54875,YES
PRV54876,YES
PRV54877,NO
PRV54878,NO
PRV54879,YES
PRV54881,NO
PRV54882,YES
PRV54883,NO
PRV54885,NO
PRV54886,NO
PRV54887,NO
